,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Nothing Happens,1,5q6Ue2SuMhMBxFPDP2VWXm,Only Friend,spotify:track:5q6Ue2SuMhMBxFPDP2VWXm,1.51e-05,0.295,0.835,0.913,0.342,-5.184,0.0413,153.914,0.0835,59
1,Nothing Happens,2,40WWDaK7arn7ilmufbHmdo,Treacherous Doctor,spotify:track:40WWDaK7arn7ilmufbHmdo,0.00193,0.459,0.861,0.00249,0.474,-6.186,0.0603,160.039,0.767,58
2,Nothing Happens,3,3gar285uWggoxHwOwO7Ng9,Sidelines,spotify:track:3gar285uWggoxHwOwO7Ng9,0.00211,0.639,0.655,0.000247,0.445,-6.0,0.0299,105.024,0.809,58
3,Nothing Happens,4,57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),spotify:track:57RA3JGafJm5zRtKJiKPIm,0.156,0.682,0.683,2.32e-05,0.273,-6.444,0.0287,120.023,0.64,85
4,Nothing Happens,5,1pNUmVxDiE8t6P1XxcZAv8,Scrawny,spotify:track:1pNUmVxDiE8t6P1XxcZAv8,0.000985,0.639,0.816,0.0604,0.141,-5.28,0.0485,138.008,0.802,72
5,Nothing Happens,6,2XzAcJx3qBDnS1hD2vNwbh,Ice Cold Pool,spotify:track:2XzAcJx3qBDnS1hD2vNwbh,0.00817,0.572,0.662,0.0,0.159,-6.041,0.0316,103.025,0.356,55
6,Nothing Happens,7,2cjgdu1MVfnVShIbLp3XvI,Worlds Apart,spotify:track:2cjgdu1MVfnVShIbLp3XvI,0.0154,0.314,0.755,0.0387,0.492,-6.613,0.0457,169.946,0.427,52
7,Nothing Happens,8,7ndWF1H191Fx8Jq3xXncqy,What You Like,spotify:track:7ndWF1H191Fx8Jq3xXncqy,0.0014,0.721,0.398,0.0,0.101,-6.603,0.0375,105.998,0.36,53
8,Nothing Happens,9,5naar7XewEOAjOywIp6Jjq,Remember When,spotify:track:5naar7XewEOAjOywIp6Jjq,0.00112,0.504,0.708,0.000424,0.788,-5.896,0.0343,82.009,0.51,69
9,Nothing Happens,10,7E9OnFFwTYDz6ZllgfbwOd,I'm Full,spotify:track:7E9OnFFwTYDz6ZllgfbwOd,0.00537,0.457,0.84,0.00246,0.472,-7.075,0.0737,159.987,0.231,54
10,Nothing Happens,11,5y3QjURtPq4V186jTPMA8Y,Do Not Wait,spotify:track:5y3QjURtPq4V186jTPMA8Y,0.0305,0.23,0.473,0.0133,0.161,-9.583,0.0303,99.832,0.0715,57
